[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "King's Row" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_RoundEnded" , "1" , ""
[00:00:07] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Tracer" , ""
[00:00:09] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-102.10, -3.50, -52.03)" , ""
[00:00:11] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-102.10, -3.50, -52.03)" , ""
[00:00:11] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerJoinedMatch" , "Torbjörn" , ""
[00:00:11] , "Team 2" , "4" , "Bastion" , "EV_PlayerJoinedMatch" , "Bastion" , ""
[00:00:11] , "Team 2" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:11] , "Team 2" , "2" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:11] , "Team 2" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:11] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerJoinedMatch" , "Soldier: 76" , ""
[00:00:11] , "Team 1" , "4" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:11] , "Team 1" , "3" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:11] , "Team 1" , "2" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:11] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:11] , "Team 2" , "5" , "Torbjörn" , "EV_SwitchedHero" , "Torbjörn" , ""
[00:00:11] , "Team 2" , "4" , "Bastion" , "EV_SwitchedHero" , "Bastion" , ""
[00:00:11] , "Team 2" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:11] , "Team 2" , "2" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:11] , "Team 2" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:11] , "Team 1" , "5" , "Soldier: 76" , "EV_SwitchedHero" , "Soldier: 76" , ""
[00:00:11] , "Team 1" , "4" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:11] , "Team 1" , "3" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:11] , "Team 1" , "2" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:11] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:11] , "Team 1" , "1" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "EV_UsedAbility_1" , "Zenyatta" , ""
[00:00:12] , "Team 1" , "1" , "Zenyatta" , "EV_UsedAbility_1" , "Zenyatta" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "COM_Acknowledge" , "" , ""
[00:00:13] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-99.70, -2.85, -48.57)" , ""
[00:00:13] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:13] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:13] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:13] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:13] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:13] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-105.85, -3.50, -53.28)" , ""
[00:00:13] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-102.80, -3.50, -55.96)" , ""
[00:00:13] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-104.74, -3.50, -55.28)" , ""
