[00:00:05] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:06] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:06] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:06] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:06] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:06] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:06] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:06] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-96.27, -2.50, -50.14)" , ""
[00:00:06] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-94.47, -2.50, -50.55)" , ""
[00:00:06] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-96.11, -2.50, -48.74)" , ""
[00:00:06] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-95.12, -2.50, -49.19)" , ""
[00:00:06] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-97.11, -2.50, -48.66)" , ""
[00:00:07] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Symmetra" , ""
[00:00:08] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:08] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:08] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:08] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:08] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:08] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:08] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-91.65, -1.50, -57.40)" , ""
[00:00:08] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-89.91, -1.50, -59.32)" , ""
[00:00:08] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-91.34, -1.50, -56.24)" , ""
[00:00:08] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-90.25, -1.50, -57.17)" , ""
[00:00:08] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-92.50, -1.50, -55.88)" , ""
[00:00:09] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-99.14, -2.50, -47.77)" , ""
[00:00:10] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:10] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:10] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:10] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:10] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-82.67, -1.50, -57.55)" , ""
[00:00:10] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-80.46, -1.50, -56.97)" , ""
[00:00:10] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-83.53, -1.50, -58.18)" , ""
[00:00:10] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-81.62, -1.50, -56.10)" , ""
[00:00:10] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-84.13, -1.50, -57.68)" , ""
[00:00:10] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "4" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "0" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:11] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-99.18, -0.66, -37.59)" , ""
[00:00:12] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:12] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:12] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:12] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:12] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:12] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:12] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-74.04, -1.50, -53.17)" , ""
[00:00:12] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-72.06, -1.16, -53.46)" , ""
[00:00:12] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-74.65, -1.50, -54.24)" , ""
[00:00:12] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-72.70, -1.19, -52.16)" , ""
[00:00:12] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-76.08, -1.50, -53.84)" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:13] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-30.31, 9.92, -15.25)" , ""
[00:00:14] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:14] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:14] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:14] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:14] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:14] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
