[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "Eichenwalde" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_RoundEnded" , "1" , ""
[00:00:06] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Mercy" , ""
[00:00:08] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(106.04, 12.72, -108.34)" , ""
[00:00:10] , "Team 2" , "5" , "McCree" , "EV_PlayerJoinedMatch" , "McCree" , ""
[00:00:10] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerJoinedMatch" , "Soldier: 76" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:10] , "Team 2" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:10] , "Team 1" , "5" , "McCree" , "EV_PlayerJoinedMatch" , "McCree" , ""
[00:00:10] , "Team 1" , "4" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:10] , "Team 1" , "3" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:10] , "Team 1" , "2" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:10] , "Team 1" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:10] , "Team 2" , "5" , "McCree" , "EV_SwitchedHero" , "McCree" , ""
[00:00:10] , "Team 2" , "4" , "Soldier: 76" , "EV_SwitchedHero" , "Soldier: 76" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:10] , "Team 2" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:10] , "Team 2" , "1" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:10] , "Team 1" , "5" , "McCree" , "EV_SwitchedHero" , "McCree" , ""
[00:00:10] , "Team 1" , "4" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:10] , "Team 1" , "3" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:10] , "Team 1" , "2" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:10] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:10] , "Team 1" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:10] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(106.04, 12.72, -108.34)" , ""
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "EV_UsedAbility_1" , "Zenyatta" , ""
[00:00:11] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:12] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-14.35, 1.00, 19.05)" , ""
[00:00:12] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-18.12, 1.00, 18.63)" , ""
[00:00:12] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-13.41, 1.00, 18.40)" , ""
[00:00:12] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-16.86, 1.00, 19.17)" , ""
[00:00:12] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-15.57, 1.00, 19.32)" , ""
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-19.00, 1.00, 17.79)" , ""
[00:00:12] , "Team 1" , "5" , "McCree" , "EV_PlayerPosition" , "(104.13, 12.72, -112.34)" , ""
[00:00:12] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(106.74, 12.72, -106.87)" , ""
[00:00:12] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(104.83, 12.72, -110.86)" , ""
[00:00:12] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(105.43, 12.72, -109.62)" , ""
[00:00:12] , "Team 1" , "1" , "Ana" , "EV_PlayerPosition" , "(103.35, 12.72, -113.98)" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(104.66, 12.72, -107.64)" , ""
[00:00:13] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:14] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-14.35, 1.00, 19.05)" , ""
[00:00:14] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-18.12, 1.00, 18.63)" , ""
[00:00:14] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-13.41, 1.00, 18.40)" , ""
[00:00:14] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-16.86, 1.00, 19.17)" , ""
[00:00:14] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-15.57, 1.00, 19.32)" , ""
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-19.00, 1.00, 17.79)" , ""
[00:00:14] , "Team 1" , "5" , "McCree" , "EV_PlayerPosition" , "(99.81, 12.72, -112.01)" , ""
[00:00:14] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(102.11, 12.72, -106.98)" , ""
[00:00:14] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(99.93, 12.72, -110.06)" , ""
[00:00:14] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(101.21, 12.72, -109.40)" , ""
[00:00:14] , "Team 1" , "1" , "Ana" , "EV_PlayerPosition" , "(99.06, 12.72, -112.03)" , ""
[00:00:14] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(104.57, 12.72, -107.80)" , ""
[00:00:15] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-14.35, 1.00, 19.05)" , ""
[00:00:16] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-18.12, 1.00, 18.63)" , ""
[00:00:16] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-13.41, 1.00, 18.40)" , ""
[00:00:16] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-16.86, 1.00, 19.17)" , ""
[00:00:16] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-15.57, 1.00, 19.32)" , ""
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-19.00, 1.00, 17.79)" , ""
[00:00:16] , "Team 1" , "5" , "McCree" , "EV_PlayerPosition" , "(86.72, 11.15, -114.21)" , ""
[00:00:16] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(88.25, 12.76, -102.28)" , ""
[00:00:16] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(87.57, 11.34, -113.31)" , ""
[00:00:16] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(88.63, 11.84, -113.39)" , ""
[00:00:16] , "Team 1" , "1" , "Ana" , "EV_PlayerPosition" , "(85.11, 10.72, -112.62)" , ""
[00:00:16] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(104.57, 12.72, -107.80)" , ""
[00:00:16] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:17] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Reaper" , ""
[00:00:18] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-14.35, 1.00, 19.05)" , ""
[00:00:18] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-18.12, 1.00, 18.63)" , ""
[00:00:18] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-13.41, 1.00, 18.40)" , ""
[00:00:18] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-16.86, 1.00, 19.17)" , ""
[00:00:18] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-15.57, 1.00, 19.32)" , ""
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-19.00, 1.00, 17.79)" , ""
[00:00:18] , "Team 1" , "5" , "McCree" , "EV_PlayerPosition" , "(73.77, 10.71, -109.97)" , ""
[00:00:18] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(77.31, 11.87, -105.75)" , ""
[00:00:18] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(74.77, 10.70, -109.29)" , ""
[00:00:18] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(75.48, 10.69, -110.51)" , ""
[00:00:18] , "Team 1" , "1" , "Ana" , "EV_PlayerPosition" , "(70.96, 10.59, -109.65)" , ""
[00:00:18] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(103.22, 12.72, -107.07)" , ""
[00:00:20] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-14.35, 1.00, 19.05)" , ""
[00:00:20] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-18.12, 1.00, 18.63)" , ""
[00:00:20] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-13.41, 1.00, 18.40)" , ""
[00:00:20] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-16.86, 1.00, 19.17)" , ""
[00:00:20] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-15.57, 1.00, 19.32)" , ""
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-19.00, 1.00, 17.79)" , ""
[00:00:20] , "Team 1" , "5" , "McCree" , "EV_PlayerPosition" , "(62.93, 6.72, -106.96)" , ""
[00:00:20] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(67.30, 8.60, -107.93)" , ""
[00:00:20] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(63.77, 6.89, -108.18)" , ""
