[00:00:21] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(68.65, -8.00, -52.04)" , ""
[00:00:21] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(69.91, -8.00, -49.54)" , ""
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(60.24, -4.04, -57.42)" , ""
[00:00:22] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:23] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:23] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:23] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:23] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:23] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:23] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(64.12, -4.99, -56.17)" , ""
[00:00:23] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(62.29, -5.00, -57.71)" , ""
[00:00:23] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(62.89, -5.00, -58.98)" , ""
[00:00:23] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(59.90, -5.00, -60.21)" , ""
[00:00:23] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(63.69, -5.00, -57.06)" , ""
[00:00:24] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(49.32, -4.81, -62.65)" , ""
[00:00:25] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:25] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:25] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:25] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:25] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:25] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(55.56, -5.00, -65.33)" , ""
[00:00:25] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(53.21, -5.00, -66.15)" , ""
[00:00:25] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(53.86, -5.00, -67.22)" , ""
[00:00:25] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(49.37, -5.00, -65.99)" , ""
[00:00:25] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(54.96, -5.00, -66.13)" , ""
[00:00:26] , "Team 1" , "0" , "NELS" , "COM_Hello" , "" , ""
[00:00:26] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(41.03, -5.00, -73.26)" , ""
[00:00:27] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:27] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:27] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:27] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:27] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:27] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(45.70, -5.00, -69.54)" , ""
[00:00:27] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(43.80, -5.00, -71.24)" , ""
[00:00:27] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(44.54, -5.00, -72.09)" , ""
[00:00:27] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(39.80, -5.00, -74.36)" , ""
[00:00:27] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(44.75, -5.00, -69.95)" , ""
[00:00:27] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "2" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:28] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(30.98, -5.16, -76.27)" , ""
[00:00:28] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:29] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:29] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:29] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:29] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:29] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:29] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:29] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(36.40, -5.02, -74.92)" , ""
[00:00:29] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(34.78, -5.02, -74.14)" , ""
[00:00:29] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(33.86, -5.02, -75.12)" , ""
[00:00:29] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(28.59, -5.02, -78.87)" , ""
[00:00:29] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(36.10, -5.02, -73.63)" , ""
[00:00:30] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(32.26, -4.05, -83.93)" , ""
[00:00:31] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:31] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:31] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:31] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:31] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:31] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(25.75, -5.16, -80.16)" , ""
[00:00:31] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(24.79, -5.16, -79.01)" , ""
[00:00:31] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(23.80, -5.16, -81.93)" , ""
[00:00:31] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(22.38, -5.20, -88.29)" , ""
[00:00:31] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(26.66, -5.16, -79.62)" , ""
[00:00:32] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(40.53, -3.56, -92.44)" , ""
[00:00:32] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 2" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 2" , "2" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
